seed,ll,error,runtime_s,converged,n_iter_run,warnings,model,fold_id
43,-1181966.138498745,,31.897079944610596,True,64,[],30m_hmm4,60
44,-1181966.1363937235,,32.62189698219299,True,65,[],30m_hmm4,60
44,-1199191.257264716,,13.708694219589233,True,20,[],30m_hmm4,61
45,-1199180.9793417396,,15.517659902572632,True,24,[],30m_hmm4,61
42,-1199180.2502415157,,16.737977027893066,True,25,[],30m_hmm4,61
46,-1556477.4412267283,,22.818968534469604,True,52,[],30m_hmm4,61
43,-1556477.4419384748,,23.255541801452637,True,53,[],30m_hmm4,61
45,-1213797.096904083,,21.556038856506348,True,26,[],30m_hmm4,62
46,-1576445.499252557,,32.40246939659119,True,50,[],30m_hmm4,62
42,-1576445.494670596,,36.59751653671265,True,54,[],30m_hmm4,62
43,-1213801.5903319838,,37.89583468437195,True,54,[],30m_hmm4,62
44,-1213801.5950096063,,41.849687576293945,True,71,[],30m_hmm4,62
43,-1229124.7541705656,,16.98655652999878,True,20,[],30m_hmm4,63
44,-1229155.7415211946,,17.836722373962402,True,21,[],30m_hmm4,63
45,-1597070.840668484,,25.15081548690796,True,47,[],30m_hmm4,63
46,-1229183.00714585,,29.577767848968506,True,61,[],30m_hmm4,63
42,-1229183.0095082177,,31.344635248184204,True,69,[],30m_hmm4,63
42,-1243893.306192001,,12.633883953094482,True,20,[],30m_hmm4,64
45,-1243923.1844681413,,13.04196572303772,True,19,[],30m_hmm4,64
44,-1243939.6736869565,,13.564404726028442,True,21,[],30m_hmm4,64
46,-1243892.5987665777,,13.704319953918457,True,19,[],30m_hmm4,64
43,-1243967.4242640517,,22.978882551193237,True,58,[],30m_hmm4,64
42,-1257669.4942934457,,13.162532329559326,True,20,[],30m_hmm4,65
