fold,config,pool_train_rows,n_eligible,fit_time_s,train_auc,oos_fold_auc
9,RF-3,13130,3548.0,0.8881521224975586,0.641132780849949,0.5508273955724163
10,RF-3,16678,415.0,0.8958165645599365,0.633971093043307,0.5600621969217795
11,RF-3,17093,64.0,1.0236763954162598,0.6285317054165938,0.42842842842842843
12,RF-3,17157,246.0,0.9282617568969727,0.6293022829796792,0.6555039787798409
13,RF-3,17403,191.0,1.2377424240112305,0.6309744376264844,0.5
14,RF-3,17594,549.0,0.9551093578338623,0.6302462963637534,0.4634404283801874
15,RF-3,18143,748.0,1.0916337966918945,0.6312016027708751,0.41392821392821394
16,RF-3,18891,889.0,1.1392261981964111,0.628727954215992,0.5694480282114136
17,RF-3,19780,228.0,0.9543764591217041,0.6289953056211439,0.39013592233009703
18,RF-3,20008,183.0,0.9891746044158936,0.626992910275408,0.6147421931735657
19,RF-3,20191,233.0,0.9441051483154297,0.6277153660953493,0.5472255912674348
20,RF-3,20424,181.0,1.1660151481628418,0.6266246744882112,0.4800846402788151
21,RF-3,20605,111.0,0.9581456184387207,0.6269817621808462,0.2922077922077922
22,RF-3,20716,115.0,1.0541856288909912,0.6280840381703594,0.43429286608260326
23,RF-3,20831,98.0,1.1180965900421143,0.6279362596226943,0.5853149770546516
24,RF-3,20929,1703.0,1.065272331237793,0.6273350423616926,0.5136662471433776
25,RF-3,22632,310.0,1.023819923400879,0.6247030550179032,0.5481125716211661
26,RF-3,22942,259.0,1.0815708637237549,0.6210345535583274,0.5971253822629969
27,RF-3,23201,65.0,1.2239627838134766,0.6201788103041572,0.6968810916179338
28,RF-3,23266,59.0,1.099621295928955,0.6206364278668817,0.6678571428571429
29,RF-3,23325,77.0,1.09588623046875,0.6216091905338781,0.573134328358209
30,RF-3,23402,99.0,1.1634128093719482,0.6193798193350901,0.5457818930041152
